wsg,idlevel,site,sp,genus,latin,genwood,famwood
0.56675,genus,pantree,pit1ba,Abarema,Abarema barbouriana,0.56675,0.678168
0.438,species,pantree,pit1ma,Abarema,Abarema macradenia,0.56675,0.678168
0.774414,genus,pantree,acacco,Acacia,Acacia collinsii,0.774414,0.678168
0.774414,genus,pantree,acacme,Acacia,Acacia melanoceras,0.774414,0.678168
0.774414,genus,pantree,acacri,Acacia,Acacia riparia,0.774414,0.678168
0.774414,genus,pantree,acac1,Acacia,Acacia sp.1,0.774414,0.678168
0.3,genus,pantree,acaldi,Acalypha,Acalypha diversifolia,0.3,0.509083
0.3,genus,pantree,acalma,Acalypha,Acalypha macrostachya,0.3,0.509083
NA,NA,pantree,acante,Acanthocereus,Acanthocereus tetragonus,NA,NA
0.509083,family,pantree,acidni,Acidoton,Acidoton nicaraguensis,NA,0.509083
0.678168,family,pantree,acospa,Acosmium,Acosmium panamense,NA,0.678168
0.568511,family,pantree,acropa,Acrocomia,Acrocomia aculeata,NA,0.568511
0.6045,species,pantree,ade1tr,Adelia,Adelia triloba,0.693,0.509083
0.584548,family,pantree,adenfl,Adenaria,Adenaria floribunda,NA,0.584548
0.656667,genus,pantree,aegian,Aegiphila,Aegiphila anomala,0.656667,0.538969
0.656667,genus,pantree,aegipa,Aegiphila,Aegiphila panamensis,0.656667,0.538969
0.81775,species,pantree,agonbr,Agonandra,Agonandra brasiliensis,0.818714,0.742333
0.568511,family,pantree,aiphhi,Aiphanes,Aiphanes hirsuta,NA,0.568511
0.54372,genus,pantree,albiad,Albizia,Albizia adinocephala,0.54372,0.678168
0.555,species,pantree,albini,Albizia,Albizia niopoides,0.54372,0.678168
0.573,species,pantree,albipr,Albizia,Albizia procera,0.54372,0.678168
0.301,species,pantree,alchco,Alchornea,Alchornea costaricensis,0.412203,0.509083
0.412203,genus,pantree,alchgr,Alchornea,Alchornea grandis,0.412203,0.509083
0.420263,species,pantree,alchla,Alchornea,Alchornea latifolia,0.412203,0.509083
0.412203,genus,pantree,alch3,Alchornea,Alchornea sp.3,0.412203,0.509083
0.412203,genus,pantree,alch4,Alchornea,Alchornea sp.4,0.412203,0.509083
0.412203,genus,pantree,alch5,Alchornea,Alchornea sp.5,0.412203,0.509083
0.76,species,pantree,alibed,Alibertia,Alibertia edulis,0.738,0.635113
0.738,genus,pantree,alibga,Alibertia,Alibertia garapatica,0.738,0.635113
0.635113,family,pantree,alleer,Allenanthus,Allenanthus erythrocarpus,NA,0.635113
0.513308,genus,pantree,alloge,Allophylus,Allophylus gentryi,0.513308,0.693076
0.513308,genus,pantree,allops,Allophylus,Allophylus psilospermus,0.513308,0.693076
0.513308,genus,pantree,allooc,Allophylus,Allophylus racemosus,0.513308,0.693076
0.513308,genus,pantree,allo2,Allophylus,Allophylus sp.2,0.513308,0.693076
0.536,species,pantree,alsebl,Alseis,Alseis blackiana,0.643,0.635113
